:END_ID,:START_ID,:TYPE,line:string,time:float
Marx-Dormoy,Porte de la Chapelle,SUBWAY,12,111.91861962400208
Notre-Dame des Champs,Rennes,SUBWAY,12,66.5979912438836
Sèvres-Babylone,Rue du Bac,SUBWAY,12,67.30878186968839
Notre-Dame de Lorette,Saint-Georges,SUBWAY,12,74.78753541076489
Madeleine,Saint-Lazare,SUBWAY,12,103.91449909863509
Rue du Bac,Solférino,SUBWAY,12,64.77465876899305
Rennes,Sèvres-Babylone,SUBWAY,12,72.71697141385528
Saint-Lazare,Trinité-d'Estienne d'Orves,SUBWAY,12,62.935874323976314
Convention,Vaugirard (Adolphe Chérioux),SUBWAY,12,78.80504764357457
Vaugirard (Adolphe Chérioux),Volontaires,SUBWAY,12,71.24903425186713
Lamarck-Caulaincourt,Abbesses,SUBWAY,12,76.99168556311415
Concorde,Assemblée Nationale,SUBWAY,12,94.119425547997
Madeleine,Concorde,SUBWAY,12,83.71882086167803
Vaugirard (Adolphe Chérioux),Convention,SUBWAY,12,67.2108843537415
Porte de Versailles,Corentin-Celton,SUBWAY,12,94.07407407407409
Montparnasse-Bienvenue,Falguière,SUBWAY,12,69.19123204837491
Marcadet-Poissonniers,Jules Joffrin,SUBWAY,12,74.3310657596372
Jules Joffrin,Lamarck-Caulaincourt,SUBWAY,12,96.0997732426304
Saint-Lazare,Madeleine,SUBWAY,12,109.96220710506427
Corentin-Celton,Mairie d'Issy,SUBWAY,12,131.80650037792896
Marx-Dormoy,Marcadet-Poissonniers,SUBWAY,12,93.98337112622828
Porte de la Chapelle,Marx-Dormoy,SUBWAY,12,86.9236583522298
Notre-Dame des Champs,Montparnasse-Bienvenue,SUBWAY,12,93.15192743764173
Saint-Georges,Notre-Dame de Lorette,SUBWAY,12,77.14285714285715
Rennes,Notre-Dame des Champs,SUBWAY,12,68.07256235827666
Falguière,Pasteur,SUBWAY,12,76.93121693121695
Abbesses,Pigalle,SUBWAY,12,65.3817082388511
Convention,Porte de Versailles,SUBWAY,12,108.69236583522299
Front Populaire,Porte de la Chapelle,SUBWAY,12,141.25472411186698
Sèvres-Babylone,Rennes,SUBWAY,12,64.06651549508693
Solférino,Rue du Bac,SUBWAY,12,68.31443688586548
Pigalle,Saint-Georges,SUBWAY,12,73.65079365079366
Trinité-d'Estienne d'Orves,Saint-Lazare,SUBWAY,12,85.275888133031
Assemblée Nationale,Solférino,SUBWAY,12,61.179138321995474
Rue du Bac,Sèvres-Babylone,SUBWAY,12,71.00529100529101
Notre-Dame de Lorette,Trinité-d'Estienne d'Orves,SUBWAY,12,65.18518518518519
Volontaires,Vaugirard (Adolphe Chérioux),SUBWAY,12,75.17762660619805
Pasteur,Volontaires,SUBWAY,12,62.34315948601664
Charles Michels,Avenue Emile-Zola,SUBWAY,10,84.96682464454977
Boulogne Pont de Saint-Cloud,Boulogne-Jean-Jaurès,SUBWAY,10,120.00000000000001
Maubert-Mutualité,Cardinal-Lemoine,SUBWAY,10,78.0568720379147
Michel-Ange-Molitor,Chardon-Lagache,SUBWAY,10,71.63033175355451
Javel-André-Citroen,Charles Michels,SUBWAY,10,82.49289099526068
Odéon,Cluny-La Sorbonne,SUBWAY,10,58.72037914691944
Ségur,Duroc,SUBWAY,10,106.29383886255926
Jussieu,Gare d'Austerlitz,SUBWAY,10,170.4739336492891
Mirabeau,Javel-André-Citroen,SUBWAY,10,84.36966824644551
Cardinal-Lemoine,Jussieu,SUBWAY,10,70.46445497630333
Avenue Emile-Zola,La Motte-Picquet-Grenelle,SUBWAY,10,86.04739336492892
Sèvres-Babylone,Mabillon,SUBWAY,10,80.44549763033177
Cluny-La Sorbonne,Maubert-Mutualité,SUBWAY,10,60.00000000000001
Boulogne-Jean-Jaurès,Michel-Ange-Molitor,SUBWAY,10,134.8436018957346
Chardon-Lagache,Mirabeau,SUBWAY,10,74.16113744075831
Mabillon,Odéon,SUBWAY,10,89.45971563981044
Vaneau,Sèvres-Babylone,SUBWAY,10,75.46919431279622
La Motte-Picquet-Grenelle,Ségur,SUBWAY,10,96.00000000000001
Duroc,Vaneau,SUBWAY,10,73.70616113744077
La Motte-Picquet-Grenelle,Avenue Emile-Zola,SUBWAY,10,72.534435261708
Boulogne-Jean-Jaurès,Boulogne Pont de Saint-Cloud,SUBWAY,10,150.11019283746558
Porte d'Auteuil,Boulogne-Jean-Jaurès,SUBWAY,10,156.47382920110192
Jussieu,Cardinal-Lemoine,SUBWAY,10,71.57024793388432
Avenue Emile-Zola,Charles Michels,SUBWAY,10,86.85950413223142
Maubert-Mutualité,Cluny-La Sorbonne,SUBWAY,10,62.61707988980718
Vaneau,Duroc,SUBWAY,10,86.39118457300277
Javel-André-Citroen,Eglise d'Auteuil,SUBWAY,10,112.42424242424244
Charles Michels,Javel-André-Citroen,SUBWAY,10,77.60330578512398
Gare d'Austerlitz,Jussieu,SUBWAY,10,122.8374655647383
Ségur,La Motte-Picquet-Grenelle,SUBWAY,10,122.23140495867771
Odéon,Mabillon,SUBWAY,10,81.43250688705236
Cardinal-Lemoine,Maubert-Mutualité,SUBWAY,10,73.93939393939395
Eglise d'Auteuil,Michel-Ange-Auteuil,SUBWAY,10,76.83195592286502
Cluny-La Sorbonne,Odéon,SUBWAY,10,60.881542699724534
Michel-Ange-Auteuil,Porte d'Auteuil,SUBWAY,10,105.01377410468321
Mabillon,Sèvres-Babylone,SUBWAY,10,90.33057851239671
Duroc,Ségur,SUBWAY,10,88.87052341597797
Sèvres-Babylone,Vaneau,SUBWAY,10,68.23691460055097
Avron,Alexandre-Dumas,SUBWAY,2,68.02049371215651
Barbès-Rochechouart,Anvers,SUBWAY,2,79.89753143921753
Nation,Avron,SUBWAY,2,100.5356311131812
La Chapelle,Barbès-Rochechouart,SUBWAY,2,102.9669306008384
Couronnes,Belleville,SUBWAY,2,76.01304145319051
Pigalle,Blanche,SUBWAY,2,78.40242198416396
Ternes,Charles de Gaulle-Etoile,SUBWAY,2,83.2231020027946
Belleville,Colonel Fabien,SUBWAY,2,85.03959012575689
Monceau,Courcelles,SUBWAY,2,64.90451793199816
Ménilmontant,Couronnes,SUBWAY,2,74.60176991150443
Colonel Fabien,Jaurès,SUBWAY,2,74.97904052165813
Stalingrad,La Chapelle,SUBWAY,2,80.66604564508619
Villiers,Monceau,SUBWAY,2,77.10293432696787
Père-Lachaise,Ménilmontant,SUBWAY,2,73.07871448532838
Alexandre-Dumas,Philippe Auguste,SUBWAY,2,68.29995342338148
Anvers,Pigalle,SUBWAY,2,79.10107126222637
Blanche,Place de Clichy,SUBWAY,2,77.27061015370286
Victor Hugo,Porte Dauphine (Maréchal de Lattre de Tassigny),SUBWAY,2,126.52538425710293
Philippe Auguste,Père-Lachaise,SUBWAY,2,85.54261760596182
Place de Clichy,Rome,SUBWAY,2,82.81788542151841
Jaurès,Stalingrad,SUBWAY,2,90.79646017699116
Courcelles,Ternes,SUBWAY,2,68.24406148113648
Charles de Gaulle-Etoile,Victor Hugo,SUBWAY,2,111.56031672100607
Rome,Villiers,SUBWAY,2,92.30554261760598
Philippe Auguste,Alexandre-Dumas,SUBWAY,2,65.69832402234638
Pigalle,Anvers,SUBWAY,2,84.90223463687153
Alexandre-Dumas,Avron,SUBWAY,2,73.44972067039107
Anvers,Barbès-Rochechouart,SUBWAY,2,84.97206703910616
Colonel Fabien,Belleville,SUBWAY,2,83.88268156424583
Place de Clichy,Blanche,SUBWAY,2,79.62290502793297
Victor Hugo,Charles de Gaulle-Etoile,SUBWAY,2,114.2737430167598
Jaurès,Colonel Fabien,SUBWAY,2,74.39944134078213
Ternes,Courcelles,SUBWAY,2,69.97206703910616
Belleville,Couronnes,SUBWAY,2,84.7346368715084
Stalingrad,Jaurès,SUBWAY,2,91.0614525139665
Barbès-Rochechouart,La Chapelle,SUBWAY,2,104.1201117318436
Courcelles,Monceau,SUBWAY,2,63.128491620111745
Couronnes,Ménilmontant,SUBWAY,2,72.86312849162013
Avron,Nation,SUBWAY,2,141.5782122905028
Père-Lachaise,Philippe Auguste,SUBWAY,2,86.74581005586593
Blanche,Pigalle,SUBWAY,2,78.33798882681566
Rome,Place de Clichy,SUBWAY,2,81.18715083798884
Ménilmontant,Père-Lachaise,SUBWAY,2,81.74581005586593
Villiers,Rome,SUBWAY,2,86.53631284916203
La Chapelle,Stalingrad,SUBWAY,2,76.6201117318436
Charles de Gaulle-Etoile,Ternes,SUBWAY,2,70.4050279329609
Porte Dauphine (Maréchal de Lattre de Tassigny),Victor Hugo,SUBWAY,2,92.62569832402237
Monceau,Villiers,SUBWAY,2,79.81843575418996
Louise Michel,Anatole-France,SUBWAY,3,84.45236882322976
Temple,Arts-et-Métiers,SUBWAY,3,61.986754966887425
Sentier,Bourse,SUBWAY,3,63.239938869077946
Saint-Lazare,Europe,SUBWAY,3,95.05858380030567
Porte de Bagnolet,Gambetta,SUBWAY,3,82.98522669383598
Opéra,Havre-Caumartin,SUBWAY,3,82.46561385634234
Porte de Champerret,Louise Michel,SUBWAY,3,77.02496179317373
Villiers,Malesherbes,SUBWAY,3,91.66581762608254
Quatre Septembre,Opéra,SUBWAY,3,75.49668874172187
Rue Saint-Maur,Parmentier,SUBWAY,3,68.84870096790628
Wagram,Pereire,SUBWAY,3,66.43402954661234
Anatole-France,Pont de Levallois-Bécon,SUBWAY,3,83.9021905247071
Gallieni (Parc de Bagnolet),Porte de Bagnolet,SUBWAY,3,89.31227712684668
Pereire,Porte de Champerret,SUBWAY,3,77.48344370860929
Gambetta,Père-Lachaise,SUBWAY,3,111.57921548650027
Bourse,Quatre Septembre,SUBWAY,3,74.67142129393787
Père-Lachaise,Rue Saint-Maur,SUBWAY,3,78.73662761079981
Arts-et-Métiers,Réaumur-Sébastopol,SUBWAY,3,67.12175241976568
Parmentier,République,SUBWAY,3,98.63474274070302
Havre-Caumartin,Saint-Lazare,SUBWAY,3,67.61079979623027
Réaumur-Sébastopol,Sentier,SUBWAY,3,73.2195618950586
République,Temple,SUBWAY,3,61.11563932755986
Europe,Villiers,SUBWAY,3,80.41772796739686
Malesherbes,Wagram,SUBWAY,3,68.1304126337239
Pont de Levallois-Bécon,Anatole-France,SUBWAY,3,90.77565944110735
Réaumur-Sébastopol,Arts-et-Métiers,SUBWAY,3,84.69574301384175
Quatre Septembre,Bourse,SUBWAY,3,71.03160094019327
Villiers,Europe,SUBWAY,3,95.58631496474277
Porte de Bagnolet,Gallieni (Parc de Bagnolet),SUBWAY,3,84.57038391224864
Père-Lachaise,Gambetta,SUBWAY,3,112.77618177069732
Saint-Lazare,Havre-Caumartin,SUBWAY,3,85.55758683729435
Anatole-France,Louise Michel,SUBWAY,3,65.97022721337164
Wagram,Malesherbes,SUBWAY,3,70.31078610603292
Havre-Caumartin,Opéra,SUBWAY,3,67.69391486027685
République,Parmentier,SUBWAY,3,94.64612170279447
Porte de Champerret,Pereire,SUBWAY,3,86.41943066074694
Gambetta,Porte de Bagnolet,SUBWAY,3,98.87699138156178
Louise Michel,Porte de Champerret,SUBWAY,3,80.10446591799428
Rue Saint-Maur,Père-Lachaise,SUBWAY,3,73.69548184904676
Opéra,Quatre Septembre,SUBWAY,3,81.74980412640377
Parmentier,Rue Saint-Maur,SUBWAY,3,79.49334029772788
Sentier,Réaumur-Sébastopol,SUBWAY,3,62.06842517628625
Temple,République,SUBWAY,3,61.78636719770176
Europe,Saint-Lazare,SUBWAY,3,78.97623400365632
Bourse,Sentier,SUBWAY,3,66.33063463045183
Arts-et-Métiers,Temple,SUBWAY,3,65.8291982240794
Malesherbes,Villiers,SUBWAY,3,93.6275790023505
Pereire,Wagram,SUBWAY,3,61.58265865761296
Bréguet-Sabin,Bastille,SUBWAY,5,77.71121351766514
Bobigny-Pablo-Picasso,Bobigny-Pantin (Raymond Queneau),SUBWAY,5,191.58218125960062
Richard-Lenoir,Bréguet-Sabin,SUBWAY,5,78.66359447004609
Saint-Marcel,Campo-Formio,SUBWAY,5,62.0583717357911
Bobigny-Pantin (Raymond Queneau),Eglise de Pantin,SUBWAY,5,115.02304147465439
Quai de la Rapée,Gare d'Austerlitz,SUBWAY,5,103.28725038402459
Gare du Nord,Gare de l'Est (Verdun),SUBWAY,5,122.90322580645162
Stalingrad,Gare du Nord,SUBWAY,5,145.08448540706604
Eglise de Pantin,Hoche,SUBWAY,5,87.03533026113672
Gare de l'Est (Verdun),Jacques-Bonsergent,SUBWAY,5,96.95852534562214
Laumière,Jaurès,SUBWAY,5,77.38863287250385
Ourcq,Laumière,SUBWAY,5,85.65284178187406
République,Oberkampf,SUBWAY,5,96.98924731182797
Porte de Pantin,Ourcq,SUBWAY,5,78.81720430107528
Campo-Formio,Place d'Italie,SUBWAY,5,171.3978494623656
Hoche,Porte de Pantin,SUBWAY,5,100.00000000000001
Bastille,Quai de la Rapée,SUBWAY,5,103.76344086021507
Oberkampf,Richard-Lenoir,SUBWAY,5,79.35483870967744
Jacques-Bonsergent,République,SUBWAY,5,91.49001536098312
Gare d'Austerlitz,Saint-Marcel,SUBWAY,5,97.08141321044549
Jaurès,Stalingrad,SUBWAY,5,64.4546850998464
Quai de la Rapée,Bastille,SUBWAY,5,110.6467913087418
Bobigny-Pantin (Raymond Queneau),Bobigny-Pablo-Picasso,SUBWAY,5,251.67256189994947
Eglise de Pantin,Bobigny-Pantin (Raymond Queneau),SUBWAY,5,109.9191510864073
Bastille,Bréguet-Sabin,SUBWAY,5,70.00505305709956
Place d'Italie,Campo-Formio,SUBWAY,5,87.19555330975241
Hoche,Eglise de Pantin,SUBWAY,5,105.17433046993432
Saint-Marcel,Gare d'Austerlitz,SUBWAY,5,97.12481051035878
Jacques-Bonsergent,Gare de l'Est (Verdun),SUBWAY,5,109.9191510864073
Gare de l'Est (Verdun),Gare du Nord,SUBWAY,5,118.65083375442144
Porte de Pantin,Hoche,SUBWAY,5,89.12076806467914
République,Jacques-Bonsergent,SUBWAY,5,80.55583628094999
Stalingrad,Jaurès,SUBWAY,5,68.23143001515919
Jaurès,Laumière,SUBWAY,5,75.4168772107125
Richard-Lenoir,Oberkampf,SUBWAY,5,84.75492673067207
Laumière,Ourcq,SUBWAY,5,78.433552299141
Ourcq,Porte de Pantin,SUBWAY,5,77.99393633148055
Gare d'Austerlitz,Quai de la Rapée,SUBWAY,5,93.00151591712988
Bréguet-Sabin,Richard-Lenoir,SUBWAY,5,78.58514401212736
Oberkampf,République,SUBWAY,5,105.99292572006065
Campo-Formio,Saint-Marcel,SUBWAY,5,62.25871652349672
Gare du Nord,Stalingrad,SUBWAY,5,126.07882769075292
Mouton-Duvernet,Alésia,SUBWAY,4,73.38674143801323
Château Rouge,Barbès-Rochechouart,SUBWAY,4,64.30202283196476
Marcadet-Poissonniers,Château Rouge,SUBWAY,4,58.786300821149624
Gare de l'Est (Verdun),Château d'Eau,SUBWAY,4,68.06328860404568
Les Halles,Châtelet,SUBWAY,4,73.87943120368517
Châtelet,Cité,SUBWAY,4,81.51011415982377
Raspail,Denfert-Rochereau,SUBWAY,4,79.09473262567596
Réaumur-Sébastopol,Etienne Marcel,SUBWAY,4,68.32765872221111
Gare du Nord,Gare de l'Est (Verdun),SUBWAY,4,86.10054075705989
Barbès-Rochechouart,Gare du Nord,SUBWAY,4,110.53074304025635
Etienne Marcel,Les Halles,SUBWAY,4,68.49589425195275
Porte d'Orléans (Général Leclerc),Mairie de Montrouge,SUBWAY,4,111.58822351291809
Simplon,Marcadet-Poissonniers,SUBWAY,4,60.54075705988385
Saint-Placide,Montparnasse-Bienvenue,SUBWAY,4,84.31003404766675
Denfert-Rochereau,Mouton-Duvernet,SUBWAY,4,64.86681353895455
Saint-Michel,Odéon,SUBWAY,4,64.10975365511717
Alésia,Porte d'Orléans (Général Leclerc),SUBWAY,4,76.34288003204487
Vavin,Raspail,SUBWAY,4,75.97035850190268
Strasbourg-Saint-Denis,Réaumur-Sébastopol,SUBWAY,4,68.15942319246948
Odéon,Saint-Germain des Prés,SUBWAY,4,65.76807530542762
Cité,Saint-Michel,SUBWAY,4,61.64630482675747
Saint-Sulpice,Saint-Placide,SUBWAY,4,73.61506108551974
Saint-Germain des Prés,Saint-Sulpice,SUBWAY,4,72.02884037652714
Porte de Clignancourt,Simplon,SUBWAY,4,53.811335870218315
Château d'Eau,Strasbourg-Saint-Denis,SUBWAY,4,63.19647506509114
Montparnasse-Bienvenue,Vavin,SUBWAY,4,62.25916282795915
Porte d'Orléans (Général Leclerc),Alésia,SUBWAY,4,85.6447688564477
Gare du Nord,Barbès-Rochechouart,SUBWAY,4,103.4549878345499
Barbès-Rochechouart,Château Rouge,SUBWAY,4,67.79805352798054
Strasbourg-Saint-Denis,Château d'Eau,SUBWAY,4,62.01946472019466
Cité,Châtelet,SUBWAY,4,73.52798053527982
Saint-Michel,Cité,SUBWAY,4,65.81508515815086
Mouton-Duvernet,Denfert-Rochereau,SUBWAY,4,47.944038929440396
Les Halles,Etienne Marcel,SUBWAY,4,65.63260340632604
Château d'Eau,Gare de l'Est (Verdun),SUBWAY,4,67.2749391727494
Gare de l'Est (Verdun),Gare du Nord,SUBWAY,4,94.87834549878346
Châtelet,Les Halles,SUBWAY,4,70.34063260340633
Château Rouge,Marcadet-Poissonniers,SUBWAY,4,57.29927007299271
Vavin,Montparnasse-Bienvenue,SUBWAY,4,60.09732360097325
Alésia,Mouton-Duvernet,SUBWAY,4,57.78588807785889
Saint-Germain des Prés,Odéon,SUBWAY,4,61.459854014598555
Mairie de Montrouge,Porte d'Orléans (Général Leclerc),SUBWAY,4,79.27007299270075
Simplon,Porte de Clignancourt,SUBWAY,4,79.76885644768858
Denfert-Rochereau,Raspail,SUBWAY,4,72.5425790754258
Etienne Marcel,Réaumur-Sébastopol,SUBWAY,4,67.88321167883213
Saint-Sulpice,Saint-Germain des Prés,SUBWAY,4,74.62287104622872
Odéon,Saint-Michel,SUBWAY,4,76.37469586374696
Montparnasse-Bienvenue,Saint-Placide,SUBWAY,4,79.37956204379563
Saint-Placide,Saint-Sulpice,SUBWAY,4,64.64720194647204
Marcadet-Poissonniers,Simplon,SUBWAY,4,56.92214111922142
Réaumur-Sébastopol,Strasbourg-Saint-Denis,SUBWAY,4,70.3771289537713
Raspail,Vavin,SUBWAY,4,64.96350364963504
Pelleport,Gambetta,SUBWAY,3B,64.01162790697676
Saint-Fargeau,Pelleport,SUBWAY,3B,60.00000000000001
Porte des Lilas,Saint-Fargeau,SUBWAY,3B,96.84593023255816
Gambetta,Pelleport,SUBWAY,3B,60.00000000000001
Saint-Fargeau,Porte des Lilas,SUBWAY,3B,60.08720930232559
Pelleport,Saint-Fargeau,SUBWAY,3B,94.40406976744187
Charles de Gaulle-Etoile,Argentine,SUBWAY,1,73.35008699014112
Gare de Lyon,Bastille,SUBWAY,1,145.4939106901218
Château de Vincennes,Bérault,SUBWAY,1,79.36980475546106
Concorde,Champs-Elysées-Clémenceau,SUBWAY,1,100.22424125265805
George V,Charles de Gaulle-Etoile,SUBWAY,1,86.21302919002514
Hôtel de Ville,Châtelet,SUBWAY,1,81.57355499710035
Tuileries,Concorde,SUBWAY,1,75.9365938526967
Pont de Neuilly,Esplanade de la Défense,SUBWAY,1,101.37251111540694
Champs-Elysées-Clémenceau,Franklin-Roosevelt,SUBWAY,1,73.6168567562343
Reuilly-Diderot,Gare de Lyon,SUBWAY,1,98.35685289000581
Franklin-Roosevelt,George V,SUBWAY,1,82.81461434370773
Saint-Paul (Le Marais),Hôtel de Ville,SUBWAY,1,79.82215348927123
Esplanade de la Défense,La Défense (Grande Arche),SUBWAY,1,134.25478445776145
Porte Maillot,Les Sablons (Jardin d'acclimatation),SUBWAY,1,99.51672143823701
Châtelet,Louvre-Rivoli,SUBWAY,1,68.03788903924223
Porte de Vincennes,Nation,SUBWAY,1,97.95089889812489
Louvre-Rivoli,Palais-Royal (Musée du Louvre),SUBWAY,1,62.27334235453316
Les Sablons (Jardin d'acclimatation),Pont de Neuilly,SUBWAY,1,91.33964817320705
Argentine,Porte Maillot,SUBWAY,1,94.1001353179973
Saint-Mandé,Porte de Vincennes,SUBWAY,1,107.68219601778468
Nation,Reuilly-Diderot,SUBWAY,1,101.46530059926543
Bérault,Saint-Mandé,SUBWAY,1,74.24318577227915
Bastille,Saint-Paul (Le Marais),SUBWAY,1,115.16334815387592
Palais-Royal (Musée du Louvre),Tuileries,SUBWAY,1,69.47612603904892
Porte Maillot,Argentine,SUBWAY,1,78.74567141208158
Saint-Paul (Le Marais),Bastille,SUBWAY,1,120.54251635244327
Saint-Mandé,Bérault,SUBWAY,1,89.50365525202002
Franklin-Roosevelt,Champs-Elysées-Clémenceau,SUBWAY,1,86.0523278183917
Argentine,Charles de Gaulle-Etoile,SUBWAY,1,88.141592920354
Bérault,Château de Vincennes,SUBWAY,1,125.20584840323201
Louvre-Rivoli,Châtelet,SUBWAY,1,74.93651404386304
Champs-Elysées-Clémenceau,Concorde,SUBWAY,1,93.08195459792229
La Défense (Grande Arche),Esplanade de la Défense,SUBWAY,1,83.40900346287034
George V,Franklin-Roosevelt,SUBWAY,1,76.64486340900348
Bastille,Gare de Lyon,SUBWAY,1,129.64986533282033
Charles de Gaulle-Etoile,George V,SUBWAY,1,72.7318199307426
Châtelet,Hôtel de Ville,SUBWAY,1,71.49672951135054
Pont de Neuilly,Les Sablons (Jardin d'acclimatation),SUBWAY,1,82.41631396691037
Palais-Royal (Musée du Louvre),Louvre-Rivoli,SUBWAY,1,61.63909195844557
Reuilly-Diderot,Nation,SUBWAY,1,107.33743747595231
Tuileries,Palais-Royal (Musée du Louvre),SUBWAY,1,88.60330896498654
Esplanade de la Défense,Pont de Neuilly,SUBWAY,1,96.0253943824548
Les Sablons (Jardin d'acclimatation),Porte Maillot,SUBWAY,1,103.48210850327051
Nation,Porte de Vincennes,SUBWAY,1,89.61908426317815
Gare de Lyon,Reuilly-Diderot,SUBWAY,1,100.76952674105426
Porte de Vincennes,Saint-Mandé,SUBWAY,1,99.7999230473259
Hôtel de Ville,Saint-Paul (Le Marais),SUBWAY,1,91.44286263947673
Concorde,Tuileries,SUBWAY,1,61.038861100423254
Funiculaire Gare basse,Funiculaire Gare haute,SUBWAY,FUNICULAIRE,300.0
Funiculaire Gare haute,Funiculaire Gare basse,SUBWAY,FUNICULAIRE,300.0
